"DATE","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather"
"2009-01-01T23:59:00","1728","8","30","45","30.27","27.94","23","6.1","0","-7.1","35","41","19","150","18","0.00","0","0.0","330","14"
"2009-01-02T23:59:00","1729","31","38","76","30.03","27.74","36","7.5","0","1.0","27","49","26","170","24","0.01","0","0.0","340","20"
"2009-01-03T23:59:00","1730","39","46","85","30.07","27.78","41","3.9","0","9.0","19","59","32","340","14","T","0","0.0","340","13"
"2009-01-04T23:59:00","1731","49","56","87","30.08","27.83","51","2.1","0","19.1","9","66","46","150","14","0.01","0","0.0","340","9"
"2009-01-05T23:59:00","1732","49","54","89","30.00","27.78","50","3.7","0","17.1","11","67","41","340","14","0.01","0","0.0","340","12"
"2009-01-06T23:59:00","1732","54","57","95","29.70","27.49","55","6.1","0","20.2","8","62","51","200","31","1.45","0","0.0","180","22"
"2009-01-07T23:59:00","1733","36","47","66","29.45","27.23","43","9.0","0","10.2","18","60","33","280","43","0.73","0","T","260","25"
"2009-01-08T23:59:00","1734","22","36","57","29.75","27.47","31","8.7","0","-0.8","29","43","28","320","35","T","0","0.0","330","24"
"2009-01-09T23:59:00","1735","18","37","55","30.15","27.84","29","5.1","0","0.2","28","51","22","340","30","0.00","0","0.0","350","18"
"2009-01-10T23:59:00","1736","33","40","69","30.06","27.78","39","9.2","0","3.3","25","53","27","170","29","T","0","0.0","180","23"
"2009-01-11T23:59:00","1737","32","41","82","29.98","27.70","35","14.9","0","4.3","24","52","29","340","31","0.02","0","0.0","340","26"
"2009-01-12T23:59:00","1738","22","37","64","30.19","27.87","29","8.1","0","0.3","28","46","28","360","25","0.00","0","0.0","330","21"
"2009-01-13T23:59:00","1739","24","35","76","30.03","27.72","29","4.9","0","-1.7","30","47","23","360","30","T","0","T","350","22"
"2009-01-14T23:59:00","1740","14","32","53","30.11","27.79","25","8.1","0","-4.8","33","46","17","330","26","0.00","0","0.0","350","20"
"2009-01-15T23:59:00","1741","9","24","53","30.28","27.95","20","15.6","0","-12.8","41","37","11","340","35","0.00","0","0.0","340","28"
"2009-01-16T23:59:00","1742","-7","14","41","30.57","28.17","9","13.2","0","-22.8","51","22","5","340","32","0.00","0","0.0","340","26"
"2009-01-17T23:59:00","1743","4","19","54","30.38","28.00","16","7.6","0","-17.8","46","34","4","190","29","0.00","0","0.0","190","22"
"2009-01-18T23:59:00","1744","25","37","71","29.87","27.59","31","4.0","0","0.1","28","45","28","300","21","T","0","T","300","14"
"2009-01-19T23:59:00","1745","26","31","81","29.63","27.33","29","8.7","0","-5.9","34","38","24","330","31","T","0","1.0","340","25"
"2009-01-20T23:59:00","1746","9","21","61","29.80","27.47","17","20.0","0","-16.0","44","24","17","330","41","T","1","T","330","31"
"2009-01-21T23:59:00","1747","5","23","51","30.11","27.75","17","12.2","0","-14.0","42","33","12","340","32","0.00","0","0.0","340","25"
"2009-01-22T23:59:00","1748","14","34","50","30.13","27.80","26","4.0","0","-3.1","31","50","17","330","16","0.00","0","0.0","350","13"
"2009-01-23T23:59:00","1749","27","42","63","30.07","27.78","34","2.6","0","4.9","23","64","19","190","21","0.00","0","0.0","210","15"
"2009-01-24T23:59:00","1750","33","43","65","30.07","27.78","40","10.0","0","5.8","22","51","34","340","30","0.01","0","0.0","340","23"
"2009-01-25T23:59:00","1751","22","39","55","30.19","27.88","32","6.1","0","1.7","26","46","32","150","16","0.00","0","0.0","340","13"
"2009-01-26T23:59:00","1752","30","42","70","30.27","27.94","36","3.9","0","4.6","23","51","32","150","18","T","0","0.0","150","14"
"2009-01-27T23:59:00","1753","40","46","90","30.22","27.93","42","5.8","0","8.5","19","56","36","190","22","0.01","0","0.0","190","17"
"2009-01-28T23:59:00","1754","41","44","87","29.92","27.65","43","11.0","0","6.4","21","54","33","330","33","0.15","0","0.0","330","24"
"2009-01-29T23:59:00","1755","24","39","64","29.99","27.68","31","11.3","0","1.3","26","48","29","340","32","0.00","0","0.0","340","25"
"2009-01-30T23:59:00","1756","15","33","54","30.05","27.73","26","13.9","0","-4.8","32","38","27","330","36","0.00","0","0.0","340","29"
"2009-01-31T23:59:00","1757","16","35","49","30.13","27.81","28","6.9","0","-2.9","30","45","25","330","29","0.00","0","0.0","340","20"
"2009-02-01T23:59:00","1758","22","39","59","30.12","27.83","31","3.0","0","1.0","26","58","20","190","18","0.00","0","0.0","180","14"
"2009-02-02T23:59:00","1759","27","40","77","29.96","27.68","32","9.5","0","1.8","25","55","25","330","38","0.10","0","T","340","30"
"2009-02-03T23:59:00","1800","15","26","60","29.92","27.60","24","10.9","0","-12.3","39","40","11","350","37","T","0","T","340","26"
"2009-02-04T23:59:00","1801","4","15","64","30.26","27.85","12","18.4","0","-23.4","50","22","8","340","39","T","0","T","340","33"
"2009-02-05T23:59:00","1802","5","22","54","30.48","28.09","16","7.8","0","-16.6","43","33","10","340","31","T","0","T","340","24"
"2009-02-06T23:59:00","1803","21","35","62","30.41","28.07","28","2.7","0","-3.7","30","56","14","340","14","0.00","0","0.0","340","12"
"2009-02-07T23:59:00","1804","25","45","59","30.39","28.07","35","2.8","0","6.1","20","67","22","210","21","0.00","0","0.0","240","16"
"2009-02-08T23:59:00","1805","39","48","66","30.29","28.02","44","4.5","0","8.9","17","65","30","340","21","0.00","0","0.0","340","17"
