"DATE","DailyAverageDewPointTemperature","DailyAverageDryBulbTemperature","DailyAverageRelativeHumidity","DailyAverageSeaLevelPressure","DailyAverageStationPressure","DailyAverageWetBulbTemperature","DailyAverageWindSpeed","DailyCoolingDegreeDays","DailyDepartureFromNormalAverageTemperature","DailyHeatingDegreeDays","DailyMaximumDryBulbTemperature","DailyMinimumDryBulbTemperature","DailyPeakWindDirection","DailyPeakWindSpeed","DailyPrecipitation","DailySnowDepth","DailySnowfall","DailySustainedWindDirection","DailySustainedWindSpeed","DailyWeather"
"2020-01-01T23:59:00","1728","24","42","53","29.95","27.68","34","7.8","0","4.9","23","51","32","340","24","0.00","0","0.0","320","18"
"2020-01-02T23:59:00","1729","35","39","81","29.98","27.70","38","3.6","0","2.0","26","46","32","140","17","0.56","0","0.0","140","13"
"2020-01-03T23:59:00","1730","51","52","91","29.86","27.62","52","4.7","0","15.0","13","59","45","190","23","0.27","0","0.0","170","18"
"2020-01-04T23:59:00","1731","40","45","76","29.84","27.58","44","10.6","0","8.1","20","55","34","320","40","0.07","0","T","340","29"
"2020-01-05T23:59:00","1732","24","39","62","30.17","27.86","32","9.3","0","2.1","26","47","30","320","35","0.00","0","T","330","26"
"2020-01-06T23:59:00","1732","25","44","52","30.11","27.82","36","7.2","0","7.2","21","55","33","310","23","0.00","0","0.0","340","17"
"2020-01-07T23:59:00","1733","29","43","60","30.02","27.73","37","8.0","0","6.2","22","50","36","340","40","0.09","0","0.0","330","29"
"2020-01-08T23:59:00","1734","23","44","49","30.32","27.99","34","6.9","0","7.2","21","56","31","340","38","0.00","0","0.0","340","29"
"2020-01-09T23:59:00","1735","26","40","59","30.56","28.22","35","6.0","0","3.2","25","54","26","160","21","0.00","0","0.0","140","15"
"2020-01-10T23:59:00","1736","41","53","71","30.44","28.17","46","7.0","0","16.3","12","60","45","130","18","0.09","0","0.0","180","14"
"2020-01-11T23:59:00","1737","57","60","87","30.10","27.88","58","12.9","0","23.3","5","66","54","200","44","1.54","0","0.0","170","36"
"2020-01-12T23:59:00","1738","42","58","61","30.20","27.95","49","7.1","0","21.3","7","68","47","180","24","0.00","0","0.0","200","20"
"2020-01-13T23:59:00","1739","48","54","82","30.32","28.04","51","2.4","0","17.3","11","60","47","140","21","0.13","0","0.0","140","14"
"2020-01-14T23:59:00","1740","54","57","90","30.20","27.94","56","2.7","0","20.2","8","61","52","310","21","0.41","0","0.0","310","17"
"2020-01-15T23:59:00","1741","53","59","86","30.15","27.90","55","2.9","0","22.2","6","67","50","200","15","T","0","0.0","190","12"
"2020-01-16T23:59:00","1742","33","49","56","30.29","27.99","43","12.3","0","12.2","16","57","40","360","37","0.00","0","0.0","350","25"
"2020-01-17T23:59:00","1743","15","40","38","30.55","28.21","31","10.4","0","3.2","25","46","34","340","35","0.00","0","0.0","350","25"
"2020-01-18T23:59:00","1744","30","41","72","30.28","27.98","36","9.0","0","4.1","24","48","33","180","29","0.14","0","0.0","180","23"
"2020-01-19T23:59:00","1745","24","35","60","30.02","27.71","32","17.9","0","-1.9","30","46","24","340","39","0.00","0","0.0","330","32"
"2020-01-20T23:59:00","1746","10","25","57","30.33","27.96","20","17.1","0","-12.0","40","29","21","330","34","T","0","T","330","29"
"2020-01-21T23:59:00","1747","10","26","54","30.42","28.07","20","14.7","0","-11.0","39","31","20","330","31","T","0","T","340","24"
"2020-01-22T23:59:00","1748","11","32","50","30.38","28.03","24","3.5","0","-5.1","33","46","17","350","19","0.00","0","0.0","350","14"
"2020-01-23T23:59:00","1749","20","39","52","30.27","27.96","31","4.8","0","1.9","26","51","27","120","16","0.02","0","0.0","170","13"
"2020-01-24T23:59:00","1750","38","40","90","30.00","27.73","39","5.9","0","2.8","25","44","35","340","14","1.32","0","0.0","210","12"
